,id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,room_number,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,mètres carrés,commune
6165,8940797,apartment,apartment,220000,for sale,7850,xl,hyper equipped,1977.0,just renovated,electric,2.0,False,False,False,1.0,1.0,705575,No agency,82,Enghien
6166,9009915,apartment,apartment,225000,for sale,1030,xl,installed,2008.0,good,gas,2.0,False,True,False,,,2258636,go immobilier,80,Schaerbeek
6167,8664576,apartment,apartment,219500,for sale,8450,xl,No infos,2008.0,good,electric,3.0,False,False,False,,,2648324,astrid immobilia,102,Bredene
6168,9025204,apartment,apartment,225000,for sale,1930,xl,installed,2011.0,good,gas,2.0,False,True,False,,,774223,century 21 berthouts,69,Zaventem
6169,8983348,apartment,apartment,225000,for sale,6280,xl,installed,2011.0,good,gas,0.0,False,True,False,,,1513,club immobilier,130,Gerpinnes
6170,9002848,apartment,apartment,225000,for sale,9660,xl,installed,2011.0,good,gas,1.0,False,False,False,,,1783216,immo gosseye,79,Brakel
6171,9008837,apartment,apartment,230000,for sale,3600,xl,installed,2020.0,as new,gas,1.0,False,False,False,,1.0,3319694,No agency,68,Genk
6172,8638438,apartment,apartment,225000,for sale,9120,xl,installed,2020.0,as new,gas,2.0,False,False,False,,,2426944,fine homes,86,Beveren-Waas
6173,8701348,apartment,ground floor,229000,for sale,8800,xl,installed,2020.0,as new,gas,2.0,False,False,False,,,2547553,albert vastgoed,79,Roulers
6174,8882633,apartment,apartment,229000,for sale,8620,xl,No infos,1988.0,as new,gas,1.0,False,False,False,,,393151,groep caenen nieuwpoort-koksijde-oostduinkerke,56,Nieuport
6175,8872127,apartment,apartment,235000,for sale,2170,xl,installed,2000.0,good,gas,2.0,True,False,False,,,1002101,wellimmo,135,Merksem
6176,8997354,apartment,duplex,240000,for sale,9750,xl,installed,1994.0,as new,gas,3.0,False,False,False,,,2532035,f&amp;f vastgoed,3,Zingem
6177,8877297,apartment,apartment,237000,for sale,8450,xl,installed,2006.0,as new,gas,2.0,False,False,False,,,3613395,No agency,100,Bredene
6178,8744505,apartment,apartment,238000,for sale,2890,xl,hyper equipped,2017.0,as new,gas,2.0,False,False,False,,,3541849,No agency,122,Puurs%20Sint-Amands
6179,9018281,apartment,apartment,249000,for sale,9000,xl,No infos,1956.0,good,gas,2.0,False,False,False,,,1739,agence rosseel,70,Gand
6180,8777811,apartment,flat studio,239000,for sale,8300,xl,No infos,1999.0,good,gas,0.0,False,False,False,,,290207,alex dewulf - albertstrand,37,Knokke-Heist
6181,8805004,apartment,apartment,235000,for sale,8570,xl,installed,1999.0,good,gas,2.0,False,False,False,1.0,,1851210,immo van parijs,120,INGOOIGEM
6182,8997347,apartment,apartment,249000,for sale,9700,xl,No infos,1999.0,as new,gas,2.0,True,False,False,,,1548676,immo nobels,123,Audenarde
6183,8863115,apartment,apartment,239000,for sale,8370,xl,No infos,1967.0,to be done up,electric,2.0,False,True,False,,,615236,agence verburgh,2,Blankenberge
6184,8878327,apartment,service flat,249500,for sale,8310,xl,installed,1973.0,good,gas,2.0,False,False,False,,,1583523,immo isera,2,Assebroek
6185,8571040,apartment,apartment,249500,for sale,8380,xl,No infos,1997.0,good,gas,3.0,False,False,False,,,3472233,rencura kust,101,Brugge%20Zeebrugge
6186,7872397,apartment,apartment,249500,for sale,8370,xl,installed,2006.0,as new,electric,2.0,False,False,False,,1.0,615236,agence verburgh,2,Blankenberge
6187,8812395,apartment,apartment,259000,for sale,9300,xl,hyper equipped,2020.0,as new,gas,2.0,False,True,False,1.0,1.0,3257067,kurtimmo,91,Alost
6188,8764774,apartment,ground floor,280300,for sale,2040,xl,No infos,2020.0,as new,gas,3.0,False,False,False,1.0,,3528906,No agency,116,Zandvliet
6189,8877461,apartment,apartment,259000,for sale,1120,xl,installed,1993.0,as new,gas,2.0,False,False,False,,,969144,century 21 best house,105,Neder-over-Heembeek
6190,8800144,apartment,apartment,275000,for sale,4020,xl,hyper equipped,2011.0,as new,gas,2.0,False,True,False,,1.0,2459,biv,2,Li%C3%A8ge
6191,8991387,apartment,apartment,279000,for sale,2000,xl,installed,1961.0,good,fueloil,2.0,False,False,False,,,2368,cornelis &amp; partners bvba,100,Anvers
6192,8825086,apartment,apartment,282000,for sale,1030,xl,hyper equipped,2022.0,as new,gas,2.0,False,False,False,,,1861729,dewaele | vastgoed met advies brussel,91,Schaerbeek
6193,8965466,apartment,apartment,299000,for sale,2000,xl,hyper equipped,2019.0,as new,gas,2.0,False,True,False,,,2117177,No agency,85,Anvers
6194,8952057,apartment,duplex,285000,for sale,1420,xl,semi equipped,2019.0,to be done up,gas,2.0,False,True,False,,,1790430,cedimmo braine-l&#039;alleud,131,Braine-l'Alleud
6195,9018703,apartment,ground floor,293900,for sale,4052,xl,No infos,2019.0,to be done up,gas,2.0,False,True,False,1.0,,1286469,era realim,111,Beaufays
6196,8993657,apartment,apartment,295000,for sale,4100,xl,installed,1973.0,to be done up,gas,2.0,False,True,False,,,3292073,trevi liege,95,BONCELLES
6197,8897687,apartment,apartment,290000,for sale,8200,xl,semi equipped,1973.0,to be done up,gas,2.0,False,False,False,,,232648,bricx,140,Sint-Andries
6198,8980965,apartment,apartment,299000,for sale,2500,xl,installed,2018.0,to be done up,gas,1.0,False,False,False,,,2995668,patrimmonium,100,Lier
6199,9010655,apartment,apartment,285000,for sale,8490,xl,installed,2019.0,as new,gas,2.0,False,False,False,1.0,,2687126,found &amp; baker,106,Jabbeke
6200,8945066,apartment,duplex,300000,for sale,1370,xl,not installed,2019.0,as new,gas,3.0,False,False,False,,1.0,851839,find immo,156,Jodoigne
6201,8991263,apartment,penthouse,301000,for sale,4100,xl,installed,2021.0,as new,gas,2.0,False,True,False,,,3292073,trevi liege,94,BONCELLES
6202,8987848,apartment,apartment,302500,for sale,1030,xl,usa installed,2021.0,as new,gas,3.0,False,True,False,25.0,25.0,2012158,engel &amp; völkers brussels projects - projets neufs,107,Schaerbeek
6203,8872481,apartment,ground floor,329000,for sale,2000,xl,installed,2018.0,just renovated,gas,2.0,False,True,False,,,3611226,No agency,92,Anvers
6204,9001148,apartment,apartment,329000,for sale,2950,xl,hyper equipped,2018.0,as new,gas,2.0,False,True,False,1.0,4.0,1103470,No agency,142,Kapellen
6205,8994375,apartment,apartment,329500,for sale,9000,xl,hyper equipped,2018.0,as new,gas,2.0,False,True,False,,,1989885,immo da vinci,2,Gand
6206,8790338,apartment,ground floor,335724,for sale,1702,xl,No infos,2018.0,as new,gas,3.0,False,True,False,1.0,,2044327,square estate,120,Groot-Bijgaarden
6207,8884355,apartment,apartment,315000,for sale,8400,xl,installed,1997.0,good,gas,2.0,False,False,False,1.0,,76850,residentie vastgoed,83,Ostende
6208,9014199,apartment,apartment,340000,for sale,2018,xl,hyper equipped,1978.0,as new,gas,2.0,False,False,False,,,1896615,estategroup,93,Anvers
6209,9020671,apartment,apartment,345000,for sale,7800,xl,No infos,1978.0,as new,gas,6.0,False,True,False,1.0,1.0,3238778,l&#039;immobilière de la sille,6,Ath
6210,8676600,apartment,duplex,357000,for sale,3910,xl,installed,1978.0,as new,gas,4.0,False,False,False,,2.0,2219357,het huiskantoor,380,Neerpelt
6211,8965513,apartment,apartment,349500,for sale,8300,xl,No infos,1978.0,good,gas,2.0,False,False,False,,,1281897,immo deva,75,Knokke
6212,8975834,apartment,apartment,360000,for sale,1060,xl,No infos,1950.0,to renovate,gas,1.0,False,True,False,,,1507406,wilink lasne,155,Saint-Gilles
6213,8730563,apartment,ground floor,355000,for sale,1340,xl,No infos,2020.0,as new,gas,2.0,False,True,False,,,1821912,trust real estate sprl,101,Ottignies-Louvain-la-Neuve%20Ottignies
6214,8991262,apartment,penthouse,360000,for sale,4100,xl,installed,2007.0,as new,gas,3.0,False,True,False,,,3292073,trevi liege,113,BONCELLES
6215,8978211,apartment,apartment,345000,for sale,8790,xl,installed,2007.0,as new,gas,0.0,False,False,False,,,1600308,dewaele | vastgoed met advies waregem,121,Waregem
6216,8960245,apartment,ground floor,370000,for sale,1020,xl,No infos,1998.0,to renovate,gas,3.0,False,True,False,1.0,1.0,105697,immo fm belgium,195,Bruxelles
6217,8993656,apartment,apartment,369000,for sale,4100,xl,installed,1998.0,to renovate,gas,3.0,False,True,False,,,3292073,trevi liege,113,BONCELLES
6218,8922227,apartment,ground floor,370000,for sale,8950,xl,hyper equipped,1998.0,as new,gas,3.0,False,False,False,,,2682844,immo francois,158,Nieuwkerke
6219,8816447,apartment,apartment,420000,for sale,8300,xl,No infos,1998.0,as new,gas,2.0,False,False,False,2.0,,546282,immo nano,2,Knokke-Heist
6220,8931945,apartment,ground floor,386000,for sale,1200,xl,usa hyper equipped,2021.0,as new,gas,2.0,False,True,False,1.0,,1364801,victoire (immobilier neuf),88,Woluwe-Saint-Lambert
6221,9023339,apartment,apartment,379000,for sale,9040,xl,hyper equipped,2019.0,as new,gas,3.0,False,False,False,,,1989885,immo da vinci,115,Gent%20Sint-Amandsberg
6222,9019525,apartment,duplex,370000,for sale,9820,xl,No infos,2017.0,as new,gas,2.0,False,True,False,1.0,,1739,agence rosseel,121,Merelbeke
6223,8899911,apartment,ground floor,424900,for sale,2390,xl,hyper equipped,2006.0,as new,gas,2.0,False,False,False,1.0,1.0,2719360,heylen exclusief,160,Malle%20Westmalle
6224,9006632,apartment,apartment,395000,for sale,9300,xl,No infos,2003.0,as new,gas,3.0,False,True,False,1.0,,988104,b&amp;v invest,140,Alost
6225,8904936,apartment,apartment,430000,for sale,8300,xl,No infos,1990.0,good,gas,2.0,False,True,False,,,1281897,immo deva,70,Knokke
6226,8970888,apartment,apartment,450000,for sale,1050,xl,hyper equipped,2009.0,good,gas,2.0,False,False,False,,,1961004,go invest uccle,100,Ixelles
6227,8549972,apartment,apartment,435000,for sale,1500,xl,installed,2009.0,as new,gas,2.0,False,False,False,,,308581,century 21 pro domo,136,Halle
6228,8897726,apartment,duplex,449000,for sale,8380,xl,installed,2009.0,as new,gas,3.0,False,False,False,,,232648,bricx,185,Zeebrugge
6229,8888207,apartment,apartment,430000,for sale,8300,xl,No infos,2014.0,as new,gas,2.0,False,True,False,,,544739,immo woestyn albertstrand,57,Knokke-Heist
6230,8894283,apartment,apartment,495000,for sale,8300,xl,installed,1983.0,as new,gas,1.0,False,False,False,1.0,,2687126,found &amp; baker,58,Knokke
6231,8914509,apartment,loft,450000,for sale,1601,xl,No infos,1953.0,good,gas,3.0,False,False,False,,,2305528,immo pické bv bvba,194,Ruisbroek
6232,8894214,apartment,apartment,495000,for sale,2018,xl,installed,1926.0,as new,gas,2.0,False,True,False,,,2296817,heylen vastgoed antwerpen,195,Anvers
6233,8215541,apartment,apartment,465000,for sale,8790,xl,installed,1955.0,good,gas,2.0,False,True,False,1.0,1.0,296167,eribo stijlbouwers,158,Waregem
6234,8925396,apartment,apartment,499000,for sale,8300,xl,No infos,1955.0,as new,gas,2.0,False,False,False,,,546282,immo nano,2,Knokke-Heist
6235,8786514,apartment,apartment,625000,for sale,8300,xl,No infos,1967.0,as new,gas,2.0,False,False,False,,,1281897,immo deva,101,Knokke
6236,8981722,apartment,loft,499000,for sale,1070,xl,No infos,2012.0,as new,gas,3.0,False,False,False,,1.0,2575488,we invest real estate,200,Anderlecht
6237,8866180,apartment,ground floor,545000,for sale,8301,xl,hyper equipped,2012.0,as new,gas,3.0,False,False,False,,,3319209,immo francois,136,Knokke-Heist
6238,8686703,apartment,penthouse,595000,for sale,9300,xl,usa hyper equipped,2012.0,as new,gas,3.0,False,False,False,1.0,,1558824,de ras immo,206,Alost
6239,9009570,apartment,apartment,502500,for sale,1030,xl,No infos,1900.0,as new,gas,3.0,False,True,False,,,1633,mexx international real estate,205,Schaerbeek
6240,8963585,apartment,loft,685000,for sale,9000,xl,hyper equipped,1928.0,as new,gas,2.0,False,False,False,1.0,,1915103,huysewinkel gent,150,Gand
6241,8845800,apartment,apartment,645000,for sale,2950,xl,hyper equipped,1983.0,as new,gas,2.0,False,False,False,1.0,2.0,2037100,immodôme,184,Kapellen
6242,6903085,apartment,apartment,675000,for sale,8300,xl,No infos,1983.0,as new,gas,3.0,False,True,False,,,1281897,immo deva,99,Knokke
6243,9009977,apartment,triplex,625000,for sale,9000,xl,No infos,2011.0,as new,gas,2.0,False,True,False,1.0,1.0,1739,agence rosseel,144,Gand
6244,8530357,apartment,apartment,700000,for sale,1050,xl,No infos,1948.0,as new,gas,3.0,False,True,False,1.0,,49714,ccic herve lesne sprl,207,Ixelles
6245,8901812,apartment,penthouse,725000,for sale,8500,xl,installed,2010.0,as new,gas,2.0,False,False,False,,,2988076,dekeyser,178,Courtrai
6246,8954012,apartment,apartment,799000,for sale,8300,xl,No infos,2010.0,as new,gas,3.0,False,False,False,,,1281897,immo deva,132,Knokke
6247,8925399,apartment,apartment,735000,for sale,9000,xl,No infos,1991.0,as new,gas,3.0,False,False,False,,,1890498,carlo eggermont,197,Gand
6248,8895602,apartment,penthouse,848000,for sale,9830,xl,installed,1991.0,as new,electric,3.0,False,False,False,2.0,2.0,1915103,huysewinkel gent,202,Sint-Martens-Latem
6249,8901811,apartment,apartment,849000,for sale,8500,xl,installed,1960.0,as new,electric,3.0,False,False,False,,,2988076,dekeyser,212,Courtrai
6250,8901810,apartment,apartment,849000,for sale,8500,xl,installed,1960.0,as new,electric,3.0,False,False,False,,,2988076,dekeyser,212,Courtrai
6251,8876600,apartment,apartment,995000,for sale,1180,xl,hyper equipped,1960.0,as new,fueloil,4.0,False,True,True,1.0,1.0,1614,victoire (vente),250,Uccle
6252,8607487,apartment,apartment,1295000,for sale,8300,xl,usa hyper equipped,1963.0,as new,gas,3.0,False,True,False,,,546282,immo nano,106,Knokke-Heist
6253,8963661,apartment,penthouse,895000,for sale,3920,xl,installed,2021.0,as new,gas,3.0,False,False,False,3.0,,2219357,het huiskantoor,205,Lommel
6254,8853404,apartment,apartment,1320000,for sale,1180,xl,usa hyper equipped,2021.0,as new,gas,3.0,False,False,False,,2.0,1364801,victoire (immobilier neuf),200,Uccle
6255,8719474,apartment,apartment,1690000,for sale,1050,xl,usa hyper equipped,2004.0,as new,gas,3.0,False,True,False,2.0,2.0,2938005,james realty,274,Ixelles
6256,8385040,apartment,apartment,1950000,for sale,1000,xl,installed,2004.0,just renovated,gas,3.0,False,False,False,,,2078276,barnes brussels,185,Bruxelles
6257,8979647,apartment,penthouse,2600000,for sale,2000,xl,hyper equipped,2004.0,good,gas,3.0,False,False,False,5.0,,2184,makelaarskantoor de meester,272,Anvers
6258,8819079,apartment,penthouse,4250000,for sale,2000,xl,usa hyper equipped,2020.0,as new,gas,7.0,False,False,False,3.0,3.0,1002101,wellimmo,440,Anvers
6259,8919179,apartment,apartment,2795000,for sale,2000,xl,installed,2020.0,as new,gas,5.0,False,False,False,,,3423211,listed property,350,Anvers
